brand,product_name,price_with_discount,original_price,discount_percentage,image,link,sub_category,category
NATURA,Aceite De Girasol Natura 1.5 L,$3.350,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/427751-500-auto?v=636495154762100000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-natura-1-5-l/p,aceites-y-vinagres,almacen
CAÑUELAS,Aceite Cañuelas De Girasol - 1.5 L,$3.010,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/427642-500-auto?v=636495153112630000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-canuelas-de-girasol-1-5-l/p,aceites-y-vinagres,almacen
COCINERO,Aceite De Girasol Cocinero 1.5 L,$3.100,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/614743-500-auto?v=637409203109900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-cocinero-1-5-l/p,aceites-y-vinagres,almacen
COCINERO,Aceite Oliva Extra Virgen Intenso Cocinero 500 Ml,$7.930,$12.200,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/649680-500-auto?v=637593932834030000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-extra-virgen-intenso-cocinero-500-ml/p,aceites-y-vinagres,almacen
OLIOVITA,Aceite De Oliva Clásico Oliovita 500 Ml,$12.750,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/568769-500-auto?v=637151736558500000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-clasico-oliovita-500-ml/p,aceites-y-vinagres,almacen
COCINERO,Aceite De Oliva Cocinero Puro X500cc,$10.300,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/782788-500-auto?v=638203881803430000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-cocinero-puro-x500cc/p,aceites-y-vinagres,almacen
NATURA,Aceite De Girasol Natura 900 Ml,$2.024,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/687695-500-auto?v=637799421695770000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-girasol-natura-900-ml/p,aceites-y-vinagres,almacen
LIRA,Aceite Oliva Lira Extra Virgen Pet 500ml,$13.400,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/649678-500-auto?v=637593932829370000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-oliva-lira-extra-virgen-pet-500ml/p,aceites-y-vinagres,almacen
OLIOVITA,Aceite De Oliva Oliovita Extra Virgen Clásico 500 Ml,$9.815,$15.100,-35%,https://jumboargentinaio.vtexassets.com/arquivos/ids/568751-500-auto?v=637151736502930000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/aceite-de-oliva-oliovita-extra-virgen-clasico-500-ml/p,aceites-y-vinagres,almacen
CASALTA,Vinagre De Alcohol Clasico Botella 1 Lt.,$1.400,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/567524-500-auto?v=637141369119900000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/vinagre-de-alcohol-clasicox1lt-2/p,aceites-y-vinagres,almacen
